Year,Category,Count,SharePercentage
2011,Domain Accelerators & AI,10,3.51
2011,Memory Hierarchy,49,17.19
2011,Multicore & Coherence,34,11.93
2011,Software/Compilers,16,5.61
2011,Verification/Tools,3,1.05
2011,CPU Microarchitecture,173,60.7
2012,Domain Accelerators & AI,13,6.28
2012,Memory Hierarchy,42,20.29
2012,Multicore & Coherence,13,6.28
2012,Software/Compilers,8,3.86
2012,Verification/Tools,4,1.93
2012,CPU Microarchitecture,127,61.35
2013,Domain Accelerators & AI,15,6.64
2013,Memory Hierarchy,27,11.95
2013,Multicore & Coherence,11,4.87
2013,Software/Compilers,9,3.98
2013,Verification/Tools,4,1.77
2013,CPU Microarchitecture,160,70.8
2014,Domain Accelerators & AI,23,10.55
2014,Memory Hierarchy,29,13.3
2014,Multicore & Coherence,12,5.5
2014,Software/Compilers,11,5.05
2014,Verification/Tools,4,1.83
2014,CPU Microarchitecture,139,63.76
2015,Domain Accelerators & AI,19,8.19
2015,Memory Hierarchy,32,13.79
2015,Multicore & Coherence,13,5.6
2015,Software/Compilers,11,4.74
2015,Verification/Tools,0,0.0
2015,CPU Microarchitecture,157,67.67
2016,Domain Accelerators & AI,38,12.46
2016,Memory Hierarchy,62,20.33
2016,Multicore & Coherence,8,2.62
2016,Software/Compilers,15,4.92
2016,Verification/Tools,7,2.3
2016,CPU Microarchitecture,175,57.38
2017,Domain Accelerators & AI,35,10.36
2017,Memory Hierarchy,59,17.46
2017,Multicore & Coherence,16,4.73
2017,Software/Compilers,11,3.25
2017,Verification/Tools,4,1.18
2017,CPU Microarchitecture,213,63.02
2018,Domain Accelerators & AI,51,14.45
2018,Memory Hierarchy,72,20.4
2018,Multicore & Coherence,17,4.82
2018,Software/Compilers,10,2.83
2018,Verification/Tools,5,1.42
2018,CPU Microarchitecture,198,56.09
2019,Domain Accelerators & AI,46,11.76
2019,Memory Hierarchy,55,14.07
2019,Multicore & Coherence,9,2.3
2019,Software/Compilers,18,4.6
2019,Verification/Tools,6,1.53
2019,CPU Microarchitecture,257,65.73
2020,Domain Accelerators & AI,83,19.21
2020,Memory Hierarchy,54,12.5
2020,Multicore & Coherence,12,2.78
2020,Software/Compilers,10,2.31
2020,Verification/Tools,8,1.85
2020,CPU Microarchitecture,265,61.34
2021,Domain Accelerators & AI,83,22.13
2021,Memory Hierarchy,55,14.67
2021,Multicore & Coherence,18,4.8
2021,Software/Compilers,12,3.2
2021,Verification/Tools,9,2.4
2021,CPU Microarchitecture,198,52.8
2022,Domain Accelerators & AI,91,17.74
2022,Memory Hierarchy,94,18.32
2022,Multicore & Coherence,15,2.92
2022,Software/Compilers,17,3.31
2022,Verification/Tools,15,2.92
2022,CPU Microarchitecture,281,54.78
2023,Domain Accelerators & AI,158,24.35
2023,Memory Hierarchy,100,15.41
2023,Multicore & Coherence,9,1.39
2023,Software/Compilers,26,4.01
2023,Verification/Tools,12,1.85
2023,CPU Microarchitecture,344,53.0
2024,Domain Accelerators & AI,151,23.27
2024,Memory Hierarchy,102,15.72
2024,Multicore & Coherence,9,1.39
2024,Software/Compilers,24,3.7
2024,Verification/Tools,19,2.93
2024,CPU Microarchitecture,344,53.0
2025,Domain Accelerators & AI,222,27.48
2025,Memory Hierarchy,122,15.1
2025,Multicore & Coherence,19,2.35
2025,Software/Compilers,21,2.6
2025,Verification/Tools,20,2.48
2025,CPU Microarchitecture,404,50.0
2026,Domain Accelerators & AI,148,33.64
2026,Memory Hierarchy,62,14.09
2026,Multicore & Coherence,6,1.36
2026,Software/Compilers,8,1.82
2026,Verification/Tools,15,3.41
2026,CPU Microarchitecture,201,45.68
