timestamp,algorithm,seed,evaluation_step,array_height,array_width,ifmap_kb,filter_kb,ofmap_kb,dataflow,bandwidth,total_cycles,cycles_mha,cycles_conv,total_stalls,avg_utilization,pe_area,sram_area,total_area,fom_score,step_gain_pct,best_so_far_gain_pct
2026-08-22T16:46:02.509666+00:00,Random Search,0,69,16,24,8,8,32,ws,4,25737,6534,19203,12440,29.52,384.0,38.4,422.4,91.985,-61.37,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,70,48,8,32,32,256,os,12,25970,2740,23230,19106,22.11,384.0,256.0,640.0,60.166,-74.73,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,71,12,8,8,64,8,os,4,33301,5982,27319,18264,47.97,96.0,64.0,160.0,187.682,-21.17,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,72,64,12,128,8,32,os,16,5314,1338,3976,0,42.67,768.0,134.4,902.4,208.535,-12.42,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,73,48,12,8,16,256,os,32,5338,1734,3604,1482,33.01,576.0,224.0,800.0,234.17,-1.65,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,74,64,8,32,32,32,is,12,13746,2266,11480,0,23.4,512.0,76.8,588.8,123.554,-48.11,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,75,16,4,16,8,128,ws,32,21276,6910,14366,0,73.11,64.0,121.6,185.6,253.24,6.36,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,76,24,32,32,32,16,os,32,2820,978,1842,0,60.53,768.0,64.0,832.0,426.214,79.01,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,77,4,64,64,128,8,os,12,12091,2762,9329,0,41.77,256.0,160.0,416.0,198.813,-16.5,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,78,64,12,16,8,16,ws,8,16643,2234,14409,10144,17.5,768.0,32.0,800.0,75.107,-68.46,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,79,24,4,32,8,64,os,16,40372,4862,35510,26040,41.72,96.0,83.2,179.2,138.223,-41.95,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,80,16,12,64,64,32,ws,32,9139,3198,5941,0,61.26,192.0,128.0,320.0,341.941,43.61,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,81,64,4,32,32,16,os,16,16160,2590,13570,7220,35.2,256.0,64.0,320.0,193.379,-18.78,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,82,12,24,16,256,64,is,24,10089,3194,6895,0,43.51,288.0,268.8,556.8,178.013,-25.24,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,83,16,4,32,16,128,ws,24,22479,7124,15355,130,72.7,64.0,140.8,204.8,217.217,-8.77,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,84,8,64,32,32,128,is,12,14569,4207,10362,0,33.47,512.0,153.6,665.6,103.123,-56.69,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,85,8,64,256,16,32,ws,16,8795,2415,6380,0,38.78,512.0,243.2,755.2,150.557,-36.77,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,86,8,64,64,128,16,os,12,7716,1754,5962,0,40.73,512.0,166.4,678.4,191.039,-19.76,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,87,4,12,128,8,32,ws,16,28684,9151,19533,0,74.2,48.0,134.4,182.4,191.133,-19.73,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,88,64,16,64,8,32,ws,12,6676,1506,5170,0,34.44,1024.0,83.2,1107.2,135.287,-43.18,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,89,12,32,128,128,32,os,4,12012,3446,8566,0,65.58,384.0,230.4,614.4,135.498,-43.09,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,90,32,12,8,64,16,is,32,8765,2038,6727,0,34.21,384.0,70.4,454.4,251.079,5.45,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,91,4,32,128,16,128,ws,12,25707,9066,16641,0,70.95,128.0,217.6,345.6,112.558,-52.73,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,92,4,64,32,256,32,ws,12,20220,5508,14712,4402,31.99,256.0,256.0,512.0,96.594,-59.43,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,93,8,12,256,32,16,os,16,14808,4478,10330,0,74.21,96.0,243.2,339.2,199.089,-16.38,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,94,8,24,64,8,32,is,32,11729,3103,8626,0,50.76,192.0,83.2,275.2,309.807,30.12,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,95,4,16,16,16,128,is,8,38531,14206,24325,0,66.85,64.0,128.0,192.0,135.173,-43.23,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,96,4,48,64,256,32,is,4,62206,18599,43607,29624,12.81,192.0,281.6,473.6,33.943,-85.74,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,97,48,8,32,64,128,ws,8,15042,4446,10596,3870,25.52,384.0,179.2,563.2,118.041,-50.42,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,98,24,4,256,16,16,os,32,13540,4590,8950,0,73.97,96.0,230.4,326.4,226.272,-4.97,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,99,48,4,8,128,64,os,32,15298,3902,11396,6454,34.27,192.0,160.0,352.0,185.705,-22.01,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,0,100,12,64,16,8,32,ws,16,6613,1934,4679,0,34.64,768.0,44.8,812.8,186.045,-21.86,101.53
2026-08-22T16:46:02.509666+00:00,Random Search,1,1,8,16,16,64,32,is,12,16699,4714,11985,0,59.86,128.0,89.6,217.6,275.201,15.58,15.58
2026-08-22T16:46:02.509666+00:00,Random Search,1,2,48,16,256,8,16,os,32,3352,1326,2026,0,51.93,768.0,224.0,992.0,300.735,26.31,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,3,4,32,16,64,64,ws,8,26923,7871,19052,7125,50.34,128.0,115.2,243.2,152.726,-35.86,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,4,12,32,32,32,64,is,4,24563,8710,15853,966,38.23,384.0,102.4,486.4,83.7,-64.85,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,5,8,8,256,8,64,ws,32,19797,6654,13143,0,80.59,64.0,262.4,326.4,154.757,-35.0,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,6,32,16,64,64,256,ws,32,5176,1518,3658,0,51.76,512.0,307.2,819.2,235.839,-0.95,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,7,24,32,128,32,64,ws,16,6260,1906,4354,0,52.51,768.0,179.2,947.2,168.649,-29.17,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,8,32,8,64,256,32,os,24,6762,1972,4790,0,67.01,256.0,281.6,537.6,275.084,15.53,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,9,16,64,256,32,8,os,16,4548,1078,3470,0,38.8,1024.0,236.8,1260.8,174.395,-26.76,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,10,12,8,64,32,256,is,4,44204,11806,32398,0,56.08,96.0,281.6,377.6,59.911,-74.84,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,11,4,64,128,128,64,is,24,16813,3679,13134,0,35.66,256.0,256.0,512.0,116.168,-51.21,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,12,32,16,8,16,256,is,24,7931,1647,6284,162,35.23,512.0,224.0,736.0,171.315,-28.05,26.31
2026-08-22T16:46:02.509666+00:00,Random Search,1,13,4,12,32,8,8,is,16,33104,8415,24689,1938,64.06,48.0,38.4,86.4,349.628,46.84,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,14,24,4,128,16,128,ws,4,31100,9694,21406,0,62.07,96.0,217.6,313.6,102.533,-56.94,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,15,24,24,32,16,32,os,32,5200,1260,3940,1006,40.54,576.0,64.0,640.0,300.481,26.2,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,16,64,16,8,64,256,os,12,7398,1250,6148,4050,28.6,1024.0,262.4,1286.4,105.077,-55.87,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,17,4,4,8,256,16,is,4,78981,22015,56966,0,81.34,16.0,224.0,240.0,52.755,-77.84,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,18,24,32,32,64,16,os,8,7878,1794,6084,2274,36.62,768.0,89.6,857.6,148.013,-37.84,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,19,12,48,32,16,8,is,4,25377,7989,17388,10883,10.07,576.0,44.8,620.8,63.476,-73.34,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,20,12,16,16,16,256,os,24,7133,2521,4612,0,73.98,192.0,230.4,422.4,331.897,39.39,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,21,64,8,128,8,8,ws,32,6085,1838,4247,0,35.6,512.0,115.2,627.2,262.019,10.05,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,22,8,4,64,8,256,is,12,120511,13567,106944,65906,49.57,32.0,262.4,294.4,28.186,-88.16,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,23,16,12,64,128,16,is,24,12183,3076,9107,0,48.47,192.0,166.4,358.4,229.022,-3.81,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,24,4,12,64,8,8,os,12,27003,8170,18833,0,76.98,48.0,64.0,112.0,330.651,38.87,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,25,4,8,128,128,8,ws,8,36606,11007,25599,0,86.6,32.0,211.2,243.2,112.327,-52.82,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,26,4,12,8,128,8,os,24,25149,7849,17300,0,76.98,48.0,115.2,163.2,243.646,2.33,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,27,48,8,64,8,8,is,24,28048,2996,25052,16890,16.44,384.0,64.0,448.0,79.583,-66.58,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,28,4,4,128,8,32,ws,8,69950,21503,48447,0,90.0,16.0,134.4,150.4,95.053,-60.08,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,29,24,4,8,32,64,is,4,35468,9694,25774,0,44.47,96.0,83.2,179.2,157.335,-33.92,46.84
2026-08-22T16:46:02.509666+00:00,Random Search,1,30,12,12,16,16,16,os,12,10861,3820,7041,0,67.97,144.0,38.4,182.4,504.784,112.01,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,31,24,16,32,128,32,os,16,9920,1766,8154,4660,40.54,384.0,153.6,537.6,187.512,-21.25,112.01
